problem;trial;r2_train;r2_test;seed
1028_SWD;1;0.3678138955906586;0.3429424669980604;29802
1028_SWD;2;0.38025416312794;0.2588586694734455;22118
1028_SWD;3;0.3755476037999149;0.34356397824976326;860
1028_SWD;4;0.37982909611768867;0.2963664426794821;15795
1028_SWD;5;0.35711271370807174;0.2427436958171998;21575
1028_SWD;6;0.3737202550166826;0.30459810960592015;5390
1028_SWD;7;0.37843210451321185;0.2542285035168418;11964
1028_SWD;8;0.3731745686821427;0.2602663292369902;6265
1028_SWD;9;0.33748980894113534;0.33277477151241985;23654
1028_SWD;10;0.37404107409944276;0.31801978270652176;11284
