problem;trial;r2_train;r2_test;seed
1030_ERA;1;0.3623075877241013;0.44729855471482005;29802
1030_ERA;2;0.37394260947649904;0.4241028725922473;22118
1030_ERA;3;0.3776220073088722;0.4389337768141711;860
1030_ERA;4;0.3871073149735177;0.38851248460310017;15795
1030_ERA;5;0.38792291041187144;0.40279092113919945;21575
1030_ERA;6;0.39469178866803933;0.37692448504339304;5390
1030_ERA;7;0.394980680019834;0.3743201811031458;11964
1030_ERA;8;0.40149347748154274;0.31896047581500797;6265
1030_ERA;9;0.39932012202881295;0.3440405797492587;23654
1030_ERA;10;0.4017703752362227;0.3258488580768649;11284
