problem;trial;r2_train;r2_test;seed
1089_USCrime;1;0.8555136837751243;0.528566000506435;29802
1089_USCrime;2;0.870880958758484;0.4639858574318121;22118
1089_USCrime;3;0.9050550235911534;0.5338416935500917;860
1089_USCrime;4;0.8699602945573435;0.5440638777945261;15795
1089_USCrime;5;0.854512240869575;0.8785588287349065;21575
1089_USCrime;6;0.8485805405391387;0.516067875170642;5390
1089_USCrime;7;0.8863242067288131;0.7686283476429006;11964
1089_USCrime;8;0.8793977053125913;0.6561373712924925;6265
1089_USCrime;9;0.8930492955273166;0.6687783256618153;23654
1089_USCrime;10;0.8864046351729604;0.6958220438079541;11284
