problem;trial;r2_train;r2_test;seed
1096_FacultySalaries;1;0.8976318282941391;0.8153396162864662;29802
1096_FacultySalaries;2;0.9155334070189877;0.7541970449954076;22118
1096_FacultySalaries;3;0.9200210835909456;0.6146468635750213;860
1096_FacultySalaries;4;0.9996757503744214;0.1871531989923565;15795
1096_FacultySalaries;5;0.8612214581493001;0.7408428603189616;21575
1096_FacultySalaries;6;0.9981718651065515;-0.6891500768669305;5390
1096_FacultySalaries;7;0.8905097816712413;0.8940319316394894;11964
1096_FacultySalaries;8;0.9059807105268687;0.8030522075537554;6265
1096_FacultySalaries;9;0.9313177845304248;0.8798775096369628;23654
1096_FacultySalaries;10;0.919101467434086;0.732071328724203;11284
