problem;trial;r2_train;r2_test;seed
197_cpu_act;1;0.9459404270524343;0.9517952935022012;29802
197_cpu_act;2;0.9493269464915577;0.9455839224276711;22118
197_cpu_act;3;0.9576729989414782;0.9541126064259073;860
197_cpu_act;4;0.9512677945456263;0.949410250487688;15795
197_cpu_act;5;0.946630987754187;0.945987082764827;21575
197_cpu_act;6;0.9497295594826963;0.9508140028269846;5390
197_cpu_act;7;0.945805593846982;0.937062958383871;11964
197_cpu_act;8;0.9429082101642056;0.9429920623527123;6265
197_cpu_act;9;0.9499053210287197;0.9481730406174046;23654
197_cpu_act;10;0.9557618919257321;0.9468025285953691;11284
