problem;trial;r2_train;r2_test;seed
227_cpu_small;1;0.8852047939096819;0.9069579357980191;29802
227_cpu_small;2;0.846801821257705;0.8415241743060853;22118
227_cpu_small;3;0.8471941394881144;0.8483759098629143;860
227_cpu_small;4;0.894138956851928;0.8986276922462233;15795
227_cpu_small;5;0.8484057907587231;0.8457543754850598;21575
227_cpu_small;6;0.8015117619949446;0.812415139761627;5390
227_cpu_small;7;0.8384845680560584;0.8247341019583363;11964
227_cpu_small;8;0.7896996409948834;0.7951547370950057;6265
227_cpu_small;9;0.8249059792122269;0.8273324047264025;23654
227_cpu_small;10;0.8424443195239516;0.8063825130171695;11284
