problem;trial;r2_train;r2_test;seed
229_pwLinear;1;0.8866837244005004;0.8437360911399274;29802
229_pwLinear;2;0.8651340740201751;0.8154600805428582;22118
229_pwLinear;3;0.8780570695512598;0.8521667614863495;860
229_pwLinear;4;0.8692410221184963;0.7966514010453299;15795
229_pwLinear;5;0.871139368125647;0.8615298223960618;21575
229_pwLinear;6;0.8476702830738368;0.7375750682294989;5390
229_pwLinear;7;0.8688776993339421;0.8070841755676031;11964
229_pwLinear;8;0.8700464875140115;0.8526734480098382;6265
229_pwLinear;9;0.8761042568651296;0.8079745580972737;23654
229_pwLinear;10;0.8622494412617301;0.7345898519017362;11284
