problem;trial;r2_train;r2_test;seed
230_machine_cpu;1;0.9501187421626498;0.9294994134578761;29802
230_machine_cpu;2;0.9507818113490427;0.8807016913181371;22118
230_machine_cpu;3;0.9590225325051415;0.875532077107793;860
230_machine_cpu;4;0.9561233307198378;0.8765719930772033;15795
230_machine_cpu;5;0.9435808285599023;0.7302057629197107;21575
230_machine_cpu;6;0.954553015501274;0.9687572950370669;5390
230_machine_cpu;7;0.9711028028886383;0.4611175579548211;11964
230_machine_cpu;8;0.9465553199692303;0.6512020154180587;6265
230_machine_cpu;9;0.9532980107502941;0.9302389260154456;23654
230_machine_cpu;10;0.9536194114522024;0.858342921175424;11284
