problem;trial;r2_train;r2_test;seed
485_analcatdata_vehicle;1;0.8664010039588119;0.04651910755619049;29802
485_analcatdata_vehicle;2;0.718140304754759;0.755397356417993;22118
485_analcatdata_vehicle;3;0.8271645651139701;0.016895742751405263;860
485_analcatdata_vehicle;4;0.8191602166465705;-1.5053144251443076;15795
485_analcatdata_vehicle;5;0.8040532468745073;0.5255990593229849;21575
485_analcatdata_vehicle;6;0.8968120840002447;-1.5391228071846919;5390
485_analcatdata_vehicle;7;0.8003630542339801;0.4639379967154684;11964
485_analcatdata_vehicle;8;0.7894107053141108;0.42743484626664474;6265
485_analcatdata_vehicle;9;0.6923557106226783;0.7359258617611327;23654
485_analcatdata_vehicle;10;0.7278442896054556;0.7255808723843389;11284
