problem;trial;r2_train;r2_test;seed
547_no2;1;0.6027579041070649;0.43658099155451946;29802
547_no2;2;0.6263829279922758;0.3742690727090351;22118
547_no2;3;0.5773914505135069;0.5688552557706618;860
547_no2;4;0.623561868307309;0.3786968263091799;15795
547_no2;5;0.5708335374653255;0.6944555489309868;21575
547_no2;6;0.6333658568772302;0.3930638879362218;5390
547_no2;7;0.606079323420359;0.41810913316252274;11964
547_no2;8;0.5933405445421667;0.5525235957536274;6265
547_no2;9;0.5797021946144171;0.4658611076735708;23654
547_no2;10;0.6157384872219682;0.4557987023033202;11284
