problem;trial;r2_train;r2_test;seed
557_analcatdata_apnea1;1;0.6960554913206098;0.7540689944000858;29802
557_analcatdata_apnea1;2;0.6831041157358718;0.7025849826094781;22118
557_analcatdata_apnea1;3;0.6686730694757874;0.7571808781478533;860
557_analcatdata_apnea1;4;0.6720078487156562;0.707144508228235;15795
557_analcatdata_apnea1;5;0.7817076096730666;0.8024983473838935;21575
557_analcatdata_apnea1;6;0.5021897641228263;0.6024472890530792;5390
557_analcatdata_apnea1;7;0.6740615450766936;0.6701634902252422;11964
557_analcatdata_apnea1;8;0.7088337960575202;0.6316432472754707;6265
557_analcatdata_apnea1;9;0.7561004671845764;0.5993105987543526;23654
557_analcatdata_apnea1;10;0.6403361650784868;0.7276607295676868;11284
