problem;trial;r2_train;r2_test;seed
561_cpu;1;0.9711777991633066;0.9618072675624789;29802
561_cpu;2;0.954469823333893;0.8929109433237233;22118
561_cpu;3;0.949738699927633;0.9515007462224937;860
561_cpu;4;0.9518910224290306;0.962784095598319;15795
561_cpu;5;0.9646558996854095;0.9034610015999412;21575
561_cpu;6;0.9729289806605727;0.8780845601632414;5390
561_cpu;7;0.9509963403427707;0.6276322299701138;11964
561_cpu;8;0.9739670108963727;0.9649354153869996;6265
561_cpu;9;0.9488920816022123;0.8705174958438815;23654
561_cpu;10;0.9728296064630393;0.9692501023454373;11284
