problem;trial;r2_train;r2_test;seed
665_sleuth_case2002;1;0.5492211374383427;0.3194138282629678;29802
665_sleuth_case2002;2;0.546745989043543;0.21008592168238338;22118
665_sleuth_case2002;3;0.5762720332288613;0.13946337038133216;860
665_sleuth_case2002;4;0.5610368593566109;0.1341108952068708;15795
665_sleuth_case2002;5;0.5492452364910855;0.0683331185031153;21575
665_sleuth_case2002;6;0.6413743558551446;-0.377276578246055;5390
665_sleuth_case2002;7;0.5737449858522283;0.22390317995008813;11964
665_sleuth_case2002;8;0.5274098980367952;0.4262864029398262;6265
665_sleuth_case2002;9;0.5778163802903606;0.2567767502630014;23654
665_sleuth_case2002;10;0.5842290081086378;0.24280785807701788;11284
