dataset,trial,r2_train,r2_zero_test,seed,algorithm
678_visualizing_environmental,1,0.6042259729572228,-0.4898176320792482,29802,AlpineGP
678_visualizing_environmental,2,0.5131960261369259,0.379238151734854,22118,AlpineGP
678_visualizing_environmental,3,0.6052618443462889,0.055770026698437,860,AlpineGP
678_visualizing_environmental,4,0.5713921325173974,0.0607845615606433,15795,AlpineGP
678_visualizing_environmental,5,0.5648219087501252,0.100871852270498,21575,AlpineGP
678_visualizing_environmental,6,0.5976649688516404,-0.2439427078754894,5390,AlpineGP
678_visualizing_environmental,7,0.5731567259068577,0.3049223065207075,11964,AlpineGP
678_visualizing_environmental,8,0.6269174845665391,0.0145293761457895,6265,AlpineGP
678_visualizing_environmental,9,0.5801209683823483,0.2571936382042673,23654,AlpineGP
678_visualizing_environmental,10,0.5297199500658589,-0.0569712718840413,11284,AlpineGP
706_sleuth_case1202,1,0.8892199065765563,0.5770780620733142,29802,AlpineGP
706_sleuth_case1202,2,0.90162395796566,-1.0837267524926508,22118,AlpineGP
706_sleuth_case1202,3,0.9066480854605186,0.4133178892220638,860,AlpineGP
706_sleuth_case1202,4,0.8706552915584651,0.6223989749808425,15795,AlpineGP
706_sleuth_case1202,5,0.8815819227597571,0.5443577908613719,21575,AlpineGP
706_sleuth_case1202,6,0.8763206878046365,0.6031046433039376,5390,AlpineGP
706_sleuth_case1202,7,0.9206350213284972,-0.509936834312158,11964,AlpineGP
706_sleuth_case1202,8,0.8665743656633613,0.6952078010302882,6265,AlpineGP
706_sleuth_case1202,9,0.8693009881889168,0.5272268024383571,23654,AlpineGP
706_sleuth_case1202,10,0.9107526283622124,0.7942998068417149,11284,AlpineGP
695_chatfield_4,1,0.872208539204865,0.9099908893738428,29802,AlpineGP
695_chatfield_4,2,0.8972345960200026,0.888347017593969,22118,AlpineGP
695_chatfield_4,3,0.8977632222691079,0.8554328197835975,860,AlpineGP
695_chatfield_4,4,0.9094226784896424,0.8171809500745558,15795,AlpineGP
695_chatfield_4,5,0.900586210157135,0.579853103271697,21575,AlpineGP
695_chatfield_4,6,0.8937513495843709,0.8417130539693012,5390,AlpineGP
695_chatfield_4,7,0.908074334049776,0.8255259445276972,11964,AlpineGP
695_chatfield_4,8,0.8923708406775518,0.8163880700516106,6265,AlpineGP
695_chatfield_4,9,0.8962765126582964,0.855342453766267,23654,AlpineGP
695_chatfield_4,10,0.8972322867583542,0.9046121966966632,11284,AlpineGP
522_pm10,1,0.3870297240943974,0.2136861853564132,29802,AlpineGP
522_pm10,2,0.3890518441334319,0.2673400897162509,22118,AlpineGP
522_pm10,3,0.3981534205179874,0.2570342044859008,860,AlpineGP
522_pm10,4,0.4032210496076118,0.2302566006567459,15795,AlpineGP
522_pm10,5,0.4093868065569361,0.1781480973177402,21575,AlpineGP
522_pm10,6,0.3616000574525325,0.3036800501703776,5390,AlpineGP
522_pm10,7,0.3452083214604218,0.3307262736151253,11964,AlpineGP
522_pm10,8,0.3906101264547256,0.1511203820241601,6265,AlpineGP
522_pm10,9,0.3590346089250859,0.1473978985802199,23654,AlpineGP
522_pm10,10,0.3518425803444009,0.3298635595591123,11284,AlpineGP
547_no2,1,0.6057406041279085,0.5726878192391938,29802,AlpineGP
547_no2,2,0.6084935770282769,0.4158794591337519,22118,AlpineGP
547_no2,3,0.5903130685215843,0.4856730993661396,860,AlpineGP
547_no2,4,0.6233624144463117,0.4673358347568566,15795,AlpineGP
547_no2,5,0.5917159139404684,0.5977998916056071,21575,AlpineGP
547_no2,6,0.6103366921132674,0.372411455578438,5390,AlpineGP
547_no2,7,0.6013420097452917,0.4890620464724639,11964,AlpineGP
547_no2,8,0.5704756930126009,0.5813493314223639,6265,AlpineGP
547_no2,9,0.6032431222868482,0.5527174794339367,23654,AlpineGP
547_no2,10,0.619448350452513,0.4687370260907668,11284,AlpineGP
229_pwLinear,1,0.9026141022095764,0.8878005617898046,29802,AlpineGP
229_pwLinear,2,0.8971196583974224,0.8918746129162287,22118,AlpineGP
229_pwLinear,3,0.8990458679636594,0.8315257469654311,860,AlpineGP
229_pwLinear,4,0.9001579812060931,0.8512286662915685,15795,AlpineGP
229_pwLinear,5,0.8973764035651447,0.8801738731294191,21575,AlpineGP
229_pwLinear,6,0.9058903154395896,0.8644910232443164,5390,AlpineGP
229_pwLinear,7,0.9021985538386436,0.8408393333727555,11964,AlpineGP
229_pwLinear,8,0.902158125897083,0.8380133290775793,6265,AlpineGP
229_pwLinear,9,0.897533875099615,0.8828541696449006,23654,AlpineGP
229_pwLinear,10,0.9055240211547568,0.85746095109892,11284,AlpineGP
666_rmftsa_ladata,1,0.6361027949497922,0.7250851491612533,29802,AlpineGP
666_rmftsa_ladata,2,0.7202230394640341,0.6951313327391864,22118,AlpineGP
666_rmftsa_ladata,3,0.7141824090761469,0.6191877131248311,860,AlpineGP
666_rmftsa_ladata,4,0.709953237759495,0.7662264855400064,15795,AlpineGP
666_rmftsa_ladata,5,0.6735125720763366,0.6974036364081915,21575,AlpineGP
666_rmftsa_ladata,6,0.6767445832544687,0.6546490291228494,5390,AlpineGP
666_rmftsa_ladata,7,0.6846331264246059,0.6993100617396588,11964,AlpineGP
